Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MG,NA,NA,NA,GW,BR,2025,8.97353
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MG,NA,NA,NA,GW,BR,2030,9.6699
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MG,NA,NA,NA,GW,BR,2035,10.90807
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MG,NA,NA,NA,GW,BR,2040,10.90807
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MG,NA,NA,NA,GW,BR,2045,10.90812
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MG,NA,NA,NA,GW,BR,2050,11.92532
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MS,NA,NA,NA,GW,BR,2025,1.39285
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MS,NA,NA,NA,GW,BR,2030,1.39287
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MS,NA,NA,NA,GW,BR,2035,1.39292
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MS,NA,NA,NA,GW,BR,2040,1.39295
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MS,NA,NA,NA,GW,BR,2045,1.39313
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MS,NA,NA,NA,GW,BR,2050,1.46207
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MT,NA,NA,NA,GW,BR,2025,2.29616
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MT,NA,NA,NA,GW,BR,2030,2.78587
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MT,NA,NA,NA,GW,BR,2035,2.78589
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MT,NA,NA,NA,GW,BR,2040,2.78591
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MT,NA,NA,NA,GW,BR,2045,2.88703
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–MT,NA,NA,NA,GW,BR,2050,3.5819
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–RJ,NA,NA,NA,GW,BR,2025,4.91719
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–RJ,NA,NA,NA,GW,BR,2030,4.9172
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–RJ,NA,NA,NA,GW,BR,2035,5.75757
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–RJ,NA,NA,NA,GW,BR,2040,6.76836
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–RJ,NA,NA,NA,GW,BR,2045,8.37566
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–RJ,NA,NA,NA,GW,BR,2050,8.90121
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–SP,NA,NA,NA,GW,BR,2025,20.34998
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–SP,NA,NA,NA,GW,BR,2030,24.30391
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–SP,NA,NA,NA,GW,BR,2035,29.42504
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–SP,NA,NA,NA,GW,BR,2040,30.65687
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–SP,NA,NA,NA,GW,BR,2045,32.04596
Energy supply and use,Transmission lines,Subsystem to state,Sudeste–SP,NA,NA,NA,GW,BR,2050,33.48716
Energy supply and use,Transmission lines,Subsystem to state,Sul–PR,NA,NA,NA,GW,BR,2025,4.76031
Energy supply and use,Transmission lines,Subsystem to state,Sul–PR,NA,NA,NA,GW,BR,2030,5.30073
Energy supply and use,Transmission lines,Subsystem to state,Sul–PR,NA,NA,NA,GW,BR,2035,5.88434
Energy supply and use,Transmission lines,Subsystem to state,Sul–PR,NA,NA,NA,GW,BR,2040,5.8844
Energy supply and use,Transmission lines,Subsystem to state,Sul–PR,NA,NA,NA,GW,BR,2045,6.05058
Energy supply and use,Transmission lines,Subsystem to state,Sul–PR,NA,NA,NA,GW,BR,2050,6.92478
Energy supply and use,Transmission lines,Subsystem to state,Sul–RS,NA,NA,NA,GW,BR,2025,4.32962
Energy supply and use,Transmission lines,Subsystem to state,Sul–RS,NA,NA,NA,GW,BR,2030,4.38363
Energy supply and use,Transmission lines,Subsystem to state,Sul–RS,NA,NA,NA,GW,BR,2035,4.38364
Energy supply and use,Transmission lines,Subsystem to state,Sul–RS,NA,NA,NA,GW,BR,2040,4.38369
Energy supply and use,Transmission lines,Subsystem to state,Sul–RS,NA,NA,NA,GW,BR,2045,4.38371
Energy supply and use,Transmission lines,Subsystem to state,Sul–RS,NA,NA,NA,GW,BR,2050,4.84482
Energy supply and use,Transmission lines,Subsystem to state,Sul–SC,NA,NA,NA,GW,BR,2025,3.69609
Energy supply and use,Transmission lines,Subsystem to state,Sul–SC,NA,NA,NA,GW,BR,2030,3.69612
Energy supply and use,Transmission lines,Subsystem to state,Sul–SC,NA,NA,NA,GW,BR,2035,3.69613
Energy supply and use,Transmission lines,Subsystem to state,Sul–SC,NA,NA,NA,GW,BR,2040,3.69658
Energy supply and use,Transmission lines,Subsystem to state,Sul–SC,NA,NA,NA,GW,BR,2045,3.69666
Energy supply and use,Transmission lines,Subsystem to state,Sul–SC,NA,NA,NA,GW,BR,2050,3.69743
Energy supply and use,Transmission lines,Interstate,AC–RO,NA,NA,NA,GW,BR,2025,1.00055
Energy supply and use,Transmission lines,Interstate,AC–RO,NA,NA,NA,GW,BR,2030,1.00064
Energy supply and use,Transmission lines,Interstate,AC–RO,NA,NA,NA,GW,BR,2035,1.00071
Energy supply and use,Transmission lines,Interstate,AC–RO,NA,NA,NA,GW,BR,2040,1.00115
Energy supply and use,Transmission lines,Interstate,AC–RO,NA,NA,NA,GW,BR,2045,1.00115
Energy supply and use,Transmission lines,Interstate,AC–RO,NA,NA,NA,GW,BR,2050,1.00145
Energy supply and use,Transmission lines,Interstate,RO–MT,NA,NA,NA,GW,BR,2025,1.00008
Energy supply and use,Transmission lines,Interstate,RO–MT,NA,NA,NA,GW,BR,2030,1.00011
Energy supply and use,Transmission lines,Interstate,RO–MT,NA,NA,NA,GW,BR,2035,1.00012
Energy supply and use,Transmission lines,Interstate,RO–MT,NA,NA,NA,GW,BR,2040,1.10797
Energy supply and use,Transmission lines,Interstate,RO–MT,NA,NA,NA,GW,BR,2045,1.38368
Energy supply and use,Transmission lines,Interstate,RO–MT,NA,NA,NA,GW,BR,2050,1.56148
