Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming with CCS),NA,NA,NA,NA,US$,BR,2030,355191.35175
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming with CCS),NA,NA,NA,NA,US$,BR,2035,1662151.34191
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming with CCS),NA,NA,NA,NA,US$,BR,2040,799465.41194
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming with CCS),NA,NA,NA,NA,US$,BR,2045,459554.54825
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming with CCS),NA,NA,NA,NA,US$,BR,2050,11582376.78512
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming),NA,NA,NA,NA,US$,BR,2025,568825173.47907
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming),NA,NA,NA,NA,US$,BR,2030,2063571.73382
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming),NA,NA,NA,NA,US$,BR,2035,3541832.28613
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming),NA,NA,NA,NA,US$,BR,2040,4244329.82541
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming),NA,NA,NA,NA,US$,BR,2045,538574.66277
Energy supply and use,Energy supply investments,Hydrogen (steam methane reforming),NA,NA,NA,NA,US$,BR,2050,6689561.11751
Energy supply and use,Energy supply investments,Hydrogen power,NA,NA,NA,NA,US$,BR,2025,293159235.39712
Energy supply and use,Energy supply investments,Hydrogen power,NA,NA,NA,NA,US$,BR,2030,632205.47246
Energy supply and use,Energy supply investments,Hydrogen power,NA,NA,NA,NA,US$,BR,2035,3340165.89181
Energy supply and use,Energy supply investments,Hydrogen power,NA,NA,NA,NA,US$,BR,2040,1047746.02592
Energy supply and use,Energy supply investments,Hydrogen power,NA,NA,NA,NA,US$,BR,2045,616699.8387
Energy supply and use,Energy supply investments,Hydrogen power,NA,NA,NA,NA,US$,BR,2050,46150931.62327
Energy supply and use,Energy supply investments,Natural gas power,NA,NA,NA,NA,US$,BR,2025,18975844.60355
Energy supply and use,Energy supply investments,Natural gas power,NA,NA,NA,NA,US$,BR,2030,378055.70038
Energy supply and use,Energy supply investments,Natural gas power,NA,NA,NA,NA,US$,BR,2035,195781.63411
Energy supply and use,Energy supply investments,Natural gas power,NA,NA,NA,NA,US$,BR,2040,1764729443.3313
Energy supply and use,Energy supply investments,Natural gas power,NA,NA,NA,NA,US$,BR,2045,3331078808.55869
Energy supply and use,Energy supply investments,Natural gas power,NA,NA,NA,NA,US$,BR,2050,2526535238.71724
Energy supply and use,Energy supply investments,Natural gas power with CCS,NA,NA,NA,NA,US$,BR,2025,8814477.19835
Energy supply and use,Energy supply investments,Natural gas power with CCS,NA,NA,NA,NA,US$,BR,2030,16965.65331
Energy supply and use,Energy supply investments,Natural gas power with CCS,NA,NA,NA,NA,US$,BR,2035,33796.07004
Energy supply and use,Energy supply investments,Natural gas power with CCS,NA,NA,NA,NA,US$,BR,2040,12631.33527
Energy supply and use,Energy supply investments,Natural gas power with CCS,NA,NA,NA,NA,US$,BR,2045,47206.16859
Energy supply and use,Energy supply investments,Natural gas power with CCS,NA,NA,NA,NA,US$,BR,2050,1784912.71324
Energy supply and use,Energy supply investments,Renewable fuels (Fischer-Tropsch),NA,NA,NA,NA,US$,BR,2025,125296955.11707
Energy supply and use,Energy supply investments,Renewable fuels (Fischer-Tropsch),NA,NA,NA,NA,US$,BR,2030,60857.46639
Energy supply and use,Energy supply investments,Renewable fuels (Fischer-Tropsch),NA,NA,NA,NA,US$,BR,2035,222871.412
Energy supply and use,Energy supply investments,Renewable fuels (Fischer-Tropsch),NA,NA,NA,NA,US$,BR,2040,244382.34494
Energy supply and use,Energy supply investments,Renewable fuels (Fischer-Tropsch),NA,NA,NA,NA,US$,BR,2045,379788.15272
Energy supply and use,Energy supply investments,Renewable fuels (Fischer-Tropsch),NA,NA,NA,NA,US$,BR,2050,12216533.56866
Energy supply and use,Energy supply investments,Solar and wind,NA,NA,NA,NA,US$,BR,2025,2254029349.74921
Energy supply and use,Energy supply investments,Solar and wind,NA,NA,NA,NA,US$,BR,2030,17340112323.88603
Energy supply and use,Energy supply investments,Solar and wind,NA,NA,NA,NA,US$,BR,2035,20158493087.51113
Energy supply and use,Energy supply investments,Solar and wind,NA,NA,NA,NA,US$,BR,2040,5861762488.41281
Energy supply and use,Energy supply investments,Solar and wind,NA,NA,NA,NA,US$,BR,2045,13161573084.77169
Energy supply and use,Energy supply investments,Solar and wind,NA,NA,NA,NA,US$,BR,2050,5606162177.22412
Energy supply and use,Energy supply investments,Sustainable aviation fuel (alcohol-to-jet),NA,NA,NA,NA,US$,BR,2025,8983732.63545
Energy supply and use,Energy supply investments,Sustainable aviation fuel (alcohol-to-jet),NA,NA,NA,NA,US$,BR,2030,190815332.76308
Energy supply and use,Energy supply investments,Sustainable aviation fuel (alcohol-to-jet),NA,NA,NA,NA,US$,BR,2035,271496169.81593
Energy supply and use,Energy supply investments,Sustainable aviation fuel (alcohol-to-jet),NA,NA,NA,NA,US$,BR,2040,99782447.72673
Energy supply and use,Energy supply investments,Sustainable aviation fuel (alcohol-to-jet),NA,NA,NA,NA,US$,BR,2045,9453171.37408
Energy supply and use,Energy supply investments,Sustainable aviation fuel (alcohol-to-jet),NA,NA,NA,NA,US$,BR,2050,8367952.38059
Energy supply and use,Energy supply investments,Synthetic liquid fuels (e-fuel),NA,NA,NA,NA,US$,BR,2025,0.0
Energy supply and use,Energy supply investments,Synthetic liquid fuels (e-fuel),NA,NA,NA,NA,US$,BR,2030,16159069.77987
Energy supply and use,Energy supply investments,Synthetic liquid fuels (e-fuel),NA,NA,NA,NA,US$,BR,2035,13382103.72807
Energy supply and use,Energy supply investments,Synthetic liquid fuels (e-fuel),NA,NA,NA,NA,US$,BR,2040,11600355.45566
Energy supply and use,Energy supply investments,Synthetic liquid fuels (e-fuel),NA,NA,NA,NA,US$,BR,2045,9836145.13497
Energy supply and use,Energy supply investments,Synthetic liquid fuels (e-fuel),NA,NA,NA,NA,US$,BR,2050,14417655.39827
Energy supply and use,Energy supply investments,Synthetic methane (e-fuel),NA,NA,NA,NA,US$,BR,2025,0.0
Energy supply and use,Energy supply investments,Synthetic methane (e-fuel),NA,NA,NA,NA,US$,BR,2030,1409065.55477
Energy supply and use,Energy supply investments,Synthetic methane (e-fuel),NA,NA,NA,NA,US$,BR,2035,1521493.7667
Energy supply and use,Energy supply investments,Synthetic methane (e-fuel),NA,NA,NA,NA,US$,BR,2040,1472927.35171
Energy supply and use,Energy supply investments,Synthetic methane (e-fuel),NA,NA,NA,NA,US$,BR,2045,1360120.54556
Energy supply and use,Energy supply investments,Synthetic methane (e-fuel),NA,NA,NA,NA,US$,BR,2050,10377429.77491
