Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Underground carbon storage,CO2 transport,Energy,Carbon storage,Parecis,N/A,Pipeline,km,TO,2050,900.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,PB,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,PB,2030,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,PB,2035,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,PB,2040,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,PB,2045,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,PB,2050,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,RN,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,RN,2030,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,RN,2035,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,RN,2040,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,RN,2045,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Potiguar,N/A,Pipeline,km,RN,2050,100.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Recôncavo,N/A,Pipeline,km,BA,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Recôncavo,N/A,Pipeline,km,BA,2030,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Recôncavo,N/A,Pipeline,km,BA,2035,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Recôncavo,N/A,Pipeline,km,BA,2040,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Recôncavo,N/A,Pipeline,km,BA,2045,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Recôncavo,N/A,Pipeline,km,BA,2050,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,AL,2025,0.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,AL,2030,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,AL,2035,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,AL,2040,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,AL,2045,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,AL,2050,200.0
Underground carbon storage,CO2 transport,Energy,Carbon storage,Sergipe-Alagoas,N/A,Pipeline,km,PE,2025,0.0
