Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranaíba,NA,GW,BR,2030,1.2354
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranaíba,NA,GW,BR,2035,1.2354
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranaíba,NA,GW,BR,2040,1.2354
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranaíba,NA,GW,BR,2045,1.2354
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paranaíba,NA,GW,BR,2050,1.2354
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraná,NA,GW,BR,2025,10.1512
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraná,NA,GW,BR,2030,10.1512
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraná,NA,GW,BR,2035,10.1512
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraná,NA,GW,BR,2040,10.1512
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraná,NA,GW,BR,2045,10.1512
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraná,NA,GW,BR,2050,10.1512
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2025,1.28179
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2030,1.28179
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2035,1.28179
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2040,1.28179
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2045,1.28179
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Paraíba do Sul,NA,GW,BR,2050,1.28179
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),São Francisco,NA,GW,BR,2025,7.4416
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),São Francisco,NA,GW,BR,2030,7.4416
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),São Francisco,NA,GW,BR,2035,7.4416
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),São Francisco,NA,GW,BR,2040,7.4416
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),São Francisco,NA,GW,BR,2045,7.4416
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),São Francisco,NA,GW,BR,2050,7.4416
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tietê,NA,GW,BR,2025,1.51099
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tietê,NA,GW,BR,2030,1.51099
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tietê,NA,GW,BR,2035,1.51099
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tietê,NA,GW,BR,2040,1.51099
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tietê,NA,GW,BR,2045,1.51099
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tietê,NA,GW,BR,2050,1.51099
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tocantins,NA,GW,BR,2025,2.6827
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tocantins,NA,GW,BR,2030,2.6827
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tocantins,NA,GW,BR,2035,2.6827
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tocantins,NA,GW,BR,2040,2.6827
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tocantins,NA,GW,BR,2045,2.6827
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Tocantins,NA,GW,BR,2050,2.6827
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Uruguai,NA,GW,BR,2025,2.5076
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Uruguai,NA,GW,BR,2030,2.5076
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Uruguai,NA,GW,BR,2035,2.5076
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Uruguai,NA,GW,BR,2040,2.5076
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Uruguai,NA,GW,BR,2045,2.5076
Energy supply and use,Power installed capacity,Hydropower,Run-of-river,Electricity generation (public service),Uruguai,NA,GW,BR,2050,2.5076
Energy supply and use,Power installed capacity,Natural gas,With CCS,Electricity generation (public service),NA,NA,GW,BR,2025,0.00184
Energy supply and use,Power installed capacity,Natural gas,With CCS,Electricity generation (public service),NA,NA,GW,BR,2030,0.00127
Energy supply and use,Power installed capacity,Natural gas,With CCS,Electricity generation (public service),NA,NA,GW,BR,2035,0.00068
Energy supply and use,Power installed capacity,Natural gas,With CCS,Electricity generation (public service),NA,NA,GW,BR,2040,0.00069
Energy supply and use,Power installed capacity,Natural gas,With CCS,Electricity generation (public service),NA,NA,GW,BR,2045,0.00073
Energy supply and use,Power installed capacity,Natural gas,With CCS,Electricity generation (public service),NA,NA,GW,BR,2050,0.00405
Energy supply and use,Power installed capacity,Natural gas,Without CCS,Electricity generation (public service),NA,NA,GW,BR,2025,18.24495
Energy supply and use,Power installed capacity,Natural gas,Without CCS,Electricity generation (public service),NA,NA,GW,BR,2030,12.39744
Energy supply and use,Power installed capacity,Natural gas,Without CCS,Electricity generation (public service),NA,NA,GW,BR,2035,11.89512
Energy supply and use,Power installed capacity,Natural gas,Without CCS,Electricity generation (public service),NA,NA,GW,BR,2040,15.26366
Energy supply and use,Power installed capacity,Natural gas,Without CCS,Electricity generation (public service),NA,NA,GW,BR,2045,22.25692
Energy supply and use,Power installed capacity,Natural gas,Without CCS,Electricity generation (public service),NA,NA,GW,BR,2050,37.92944
Energy supply and use,Power installed capacity,Nuclear,NA,Electricity generation (public service),NA,NA,GW,BR,2025,1.99
Energy supply and use,Power installed capacity,Nuclear,NA,Electricity generation (public service),NA,NA,GW,BR,2030,1.99
Energy supply and use,Power installed capacity,Nuclear,NA,Electricity generation (public service),NA,NA,GW,BR,2035,1.99
Energy supply and use,Power installed capacity,Nuclear,NA,Electricity generation (public service),NA,NA,GW,BR,2040,1.99
Energy supply and use,Power installed capacity,Nuclear,NA,Electricity generation (public service),NA,NA,GW,BR,2045,1.98999
Energy supply and use,Power installed capacity,Nuclear,NA,Electricity generation (public service),NA,NA,GW,BR,2050,1.98996
